uri,place_id,attested_form,romanized_form_1,romanized_form_2,romanized_form_3,entidad_buscada,geometry_wkt,geometry_wkt_polygon
https://pleiades.stoa.org/places/778145953/name.2016-06-21.4835506688,778145953,Temple of Cybele,Temple of Cybele,,,Cybele,,
https://pleiades.stoa.org/places/773761100/roman-agora,773761100,Roman Agora,Roman Agora,,,Roma,,
https://pleiades.stoa.org/places/769742546/name.2018-03-11.1908012837,769742546,,Vicus sandalarius,,,Vicus,,
https://pleiades.stoa.org/places/765102512/name.2015-11-15.9954190129,765102512,,Chesters Roman bridge,,,Roma,POINT (-2.135509 55.025051),
https://pleiades.stoa.org/places/719055683/arene-candide,719055683,Arene Candide,Arene Candide,,,Candide,POINT (8.3283437 44.162502),
https://pleiades.stoa.org/places/719055683/arene-candide,719055683,Arene Candide,Arene Candide,,,Candide,POINT (8.3282707 44.1623257),
https://pleiades.stoa.org/places/716589/libya-inferior,716589,,Libya Inferior,,,Libya,,
https://pleiades.stoa.org/places/716589/libya-sicca,716589,,Libya Sicca,,,Libya,,
https://pleiades.stoa.org/places/716588/libya,716588,,Libya,,,Libya,,"POLYGON ((26 31, 27 31, 27 32, 26 32, 26 31))"
https://pleiades.stoa.org/places/716568/graias-gonu,716568,,Graias Gonu,,,Graia,POINT (27.357149 31.319622),
https://pleiades.stoa.org/places/711220/argos,711220,,Argos,,,Argo,,
https://pleiades.stoa.org/places/789735/castra-lapidariorum,789735,,Castra Lapidariorum,,,Castra,,
https://pleiades.stoa.org/places/789856351/area-g,789856351,Area G,Area G,,,Area,POINT (20.0646244 32.1244974),
https://pleiades.stoa.org/places/789855016/villa-romana-ai-cavallacci,789855016,Villa Romana ai Cavallacci,Villa Romana ai Cavallacci,,,Romana,POINT (12.6543451 41.7216763),
https://pleiades.stoa.org/places/780913480/aedes-of-venus-pompeiana,780913480,Aedes of Venus Pompeiana,Aedes of Venus Pompeiana,,,Venus,,
https://pleiades.stoa.org/places/780913480/tempel-der-ceres-und-venus,780913480,Tempel der Ceres und Venus,Tempel der Ceres und Venus,,,Venus,,
https://pleiades.stoa.org/places/786069/myos-hormos,786069,,Myos Hormos,,,Myos,POINT (34.24401 26.156611),
https://pleiades.stoa.org/places/786069/muos-hormos,786069,Μυὸς Ὅρμος,Muòs Hórmos,Muos Hormos,Myos Hormos,Myos,POINT (34.24401 26.156611),
https://pleiades.stoa.org/places/741612/tanais,741612,,Tanais,,,Tanais,,
https://pleiades.stoa.org/places/741609/syron,741609,,Syron,,,Syro,,
https://pleiades.stoa.org/places/741435/athenas-kome,741435,,Athenas Kome,,,Athenas,,
https://pleiades.stoa.org/places/741517/memphis,741517,,Memphis,,,Memphi,,
https://pleiades.stoa.org/places/745866777/porta-romana,745866777,Porta Romana,Porta Romana,,,Romana,POINT (11.505515 42.6635977),
https://pleiades.stoa.org/places/730159/syron,730159,,Syron,,,Syro,,
https://pleiades.stoa.org/places/730158/syron,730158,,Syron,,,Syro,,
https://pleiades.stoa.org/places/730164/tyrion-stratopeda,730164,,Tyrion stratopeda,,,Tyrio,,
https://pleiades.stoa.org/places/736964/memphites-nomos,736964,,Memphites Nomos,,,Memphi,,
https://pleiades.stoa.org/places/736963/memphis,736963,Memphis,Memphis,,,Memphi,POINT (31.255061 29.849491),
https://pleiades.stoa.org/places/736963/memphis-1,736963,,Memphis,,,Memphi,POINT (31.255061 29.849491),
https://pleiades.stoa.org/places/735295266/the-koinon-of-the-ionians,735295266, τὸ κοινὸν τῶν Ἰώνων,The Koinon of the Ionians,,,Ionia,,
https://pleiades.stoa.org/places/727067/aegyptium-mare,727067,,Aegyptium Mare,,,Aegypti,,
https://pleiades.stoa.org/places/727070/alexandria,727070,,Alexandria,,,Alexandria,POINT (29.909773 31.201435),
https://pleiades.stoa.org/places/727070/alexandria-1,727070,,Alexandria,,,Alexandria,POINT (29.909773 31.201435),
https://pleiades.stoa.org/places/727070/alexandrea-ad-aegyptum,727070,,Alexandrea ad Aegyptum,,,Aegyptum,POINT (29.909773 31.201435),
https://pleiades.stoa.org/places/727070/alexandreia-ad-aegyptum,727070,,Alexandreia ad Aegyptum,,,Aegyptum,POINT (29.909773 31.201435),
https://pleiades.stoa.org/places/727155/memphites-nomos,727155,,Memphites Nomos,,,Memphi,,
https://pleiades.stoa.org/places/727190/name.2013-08-09.9621613186,727190,,Bay of Pelusium,,,Pelusi,POINT (32.68554 31.15802),
https://pleiades.stoa.org/places/727191/pelusinische-mundung,727191,Pelusinische Mündung,Pelusinische Mündung,,,Pelusi,POINT (32.5824 31.062),
https://pleiades.stoa.org/places/727191/pelusiacum-ostium,727191,Pelusiacum ostium,Pelusiacum ostium,,,Pelusi,POINT (32.5824 31.062),
https://pleiades.stoa.org/places/727192/pelusium,727192,,Pelusium,,,Pelusi,POINT (32.5473404 31.0427587),
https://pleiades.stoa.org/places/727252/troia,727252,,Troia,,,Troia,,"POLYGON ((31 30, 31.5 30, 31.5 30.5, 31 30.5, 31 30))"
https://pleiades.stoa.org/places/72845305/forum-holitorium,72845305,Forum holitorium,Forum holitorium,,,Forum,,
https://pleiades.stoa.org/places/72845305/foro-olitorio,72845305,Foro Olitorio,Foro Olitorio,,,Foro,,
https://pleiades.stoa.org/places/756518/antinoopolis,756518,,Antinoopolis,,,Antinoo,POINT (30.882706 27.813026),
https://pleiades.stoa.org/places/756518/antinoopolis,756518,,Antinoopolis,,,Antinoo,POINT (30.879299 27.808099),
https://pleiades.stoa.org/places/756527/Apa-Palemon-Mon,756527,,Apa Palemon,Mon.,,Palem,POINT (32.284873 26.065227),
https://pleiades.stoa.org/places/697725/Colonia-Antoniniana-P,697725,,Colonia Antoniniana P.,Colonia Antoniniana Petra,,Colonia,POINT (35.441944 30.328611),
https://pleiades.stoa.org/places/697725/Colonia-Ant-P,697725,,Colonia Ant. P.,Colonia Antoniniana Petra,,Colonia,POINT (35.441944 30.328611),
https://pleiades.stoa.org/places/697647/castra-praetorii-mobeni,697647,Castra Praetorii Mobeni,Castra Praetorii Mobeni,,,Castra,POINT (35.981155 31.337263),
https://pleiades.stoa.org/places/697646/castra-mefaa,697646,,Castra Mefaa,,,Castra,,
https://pleiades.stoa.org/places/698464019/name.2016-09-29.4843410027,698464019,"Teiada, Texada",Teiada,Texada,,Teia,POINT (-7.3516462 37.5363052),
https://pleiades.stoa.org/places/69468/vieux-la-romaine,69468,,Vieux-la-Romaine,,,Roma,POINT (-0.435635 49.105638),
https://pleiades.stoa.org/places/69468/vieux-la-romaine,69468,,Vieux-la-Romaine,,,Roma,POINT (-0.4297985 49.1080973),
https://pleiades.stoa.org/places/609353/Cybele-T,609353,,Cybele,T.,,Cybele,POINT (29.385419 39.592474),
https://pleiades.stoa.org/places/609352/Cybele-T,609352,,Cybele,T.,,Cybele,POINT (28.858354 39.601295),
https://pleiades.stoa.org/places/609314/appia,609314,,Appia,,,Appia,POINT (29.982729 39.024583),
https://pleiades.stoa.org/places/609314/appia,609314,,Appia,,,Appia,POINT (29.9841704 39.0246078),
https://pleiades.stoa.org/places/609354/Cybele-T,609354,,Cybele,T.,,Cybele,POINT (30.426741 39.109037),
https://pleiades.stoa.org/places/609367/libadiya,609367,,Libādīya,Libadiya,Libadiyah,Liba,POINT (30.51684 39.77489),
https://pleiades.stoa.org/places/609502/phrygia,609502,,Phrygia,,,Phrygia,,
https://pleiades.stoa.org/places/609564/tyriaion,609564,,Tyriaion,,,Tyria,POINT (31.913656 38.280635),
https://pleiades.stoa.org/places/609564/tyriaion,609564,,Tyriaion,,,Tyria,POINT (31.89495 38.284471),
https://pleiades.stoa.org/places/60710/umbrae,60710,"Umbrae, Vmbrae",Umbrae,,,Umbrae,,
https://pleiades.stoa.org/places/607022/neapolis-in-ionia,607022,,Neapolis in Ionia,,,Ionia,,
https://pleiades.stoa.org/places/607225751/ager-romanus,607225751,ager Romanus,ager Romanus,,,Romanus,,
https://pleiades.stoa.org/places/606336/minoa,606336,,Minoa,,,Minoa,,
https://pleiades.stoa.org/places/606364/siloi,606364,,Siloi,,,Silo,,
https://pleiades.stoa.org/places/60403/achaia,60403,Ἀχαΐα,Achaia,,,Achaia,,
https://pleiades.stoa.org/places/60442/asiake,60442,,Asiake,,,Asia,,
https://pleiades.stoa.org/places/60409/alexandria,60409,,Alexandria,,,Alexandria,,
https://pleiades.stoa.org/places/60428/argouda,60428,,Argouda,,,Argo,,
https://pleiades.stoa.org/places/60406/alexandria,60406,,Alexandria,,,Alexandria,POINT (71.06148 29.2389543),
https://pleiades.stoa.org/places/60410/alexandria,60410,,Alexandria,,,Alexandria,,
https://pleiades.stoa.org/places/676148653/tempel-der-roma-und-des-augustus-leptis-magna,676148653,Tempel der Roma und des Augustus Leptis Magna,Tempel der Roma und des Augustus Leptis Magna,,,Roma,,
https://pleiades.stoa.org/places/678010/Col-Claudia-Neronia-C-Pt,678010,,Col. Claudia (Nerōnia) C. Pt.,Colonia Claudia Nerōnia Caesarea Ptolemais,Colonia Claudia Caesarea Ptolemais,Colonia,POINT (35.068626 32.920744),
https://pleiades.stoa.org/places/678010/Col-Claudia-Neronia-C-Pt,678010,,Col. Claudia (Nerōnia) C. Pt.,Colonia Claudia Nerōnia Caesarea Ptolemais,Colonia Claudia Caesarea Ptolemais,Colonia,POINT (35.091044 32.9218295),
https://pleiades.stoa.org/places/678010/Colonia-Claudia-Neronia-Caes,678010,,Colonia Claudia (Nerōnia) Caes.,Colonia Claudia Caesarea,Colonia Claudia Neronia Caesarea,Colonia,POINT (35.068626 32.920744),
https://pleiades.stoa.org/places/678010/Colonia-Claudia-Neronia-Caes,678010,,Colonia Claudia (Nerōnia) Caes.,Colonia Claudia Caesarea,Colonia Claudia Neronia Caesarea,Colonia,POINT (35.091044 32.9218295),
